PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA
Buenos Aires,Chivilcoy,1993,2200.0
Buenos Aires,Colón,1993,1751.0
Buenos Aires,Coronel de Marina Leonardo Rosales,1993,1400.0
Buenos Aires,Coronel Dorrego,1993,2090.0
Buenos Aires,Coronel Pringles,1993,2299.0
Buenos Aires,Coronel Suárez,1993,2450.0
Buenos Aires,Daireaux,1993,2600.0
Buenos Aires,Dolores,1993,1556.0
Buenos Aires,Exaltación de la Cruz,1993,1765.0
Buenos Aires,General Alvarado,1993,2298.0
Buenos Aires,General Alvear,1993,1800.0
Buenos Aires,General Arenales,1993,2000.0
Buenos Aires,General Belgrano,1993,1529.0
Buenos Aires,General Juan Madariaga,1993,1875.0
Buenos Aires,General La Madrid,1993,2200.0
Buenos Aires,General Pinto,1993,2452.0
Buenos Aires,General Pueyrredón,1993,2200.0
Buenos Aires,General Viamonte,1993,2353.0
Buenos Aires,General Villegas,1993,2550.0
Buenos Aires,Guaminí,1993,2152.0
Buenos Aires,Hipólito Yrigoyen,1993,2711.0
Buenos Aires,Junín,1993,1900.0
Buenos Aires,Laprida,1993,2900.0
Buenos Aires,Las Flores,1993,1600.0
Buenos Aires,Leandro N. Alem,1993,2357.0
Buenos Aires,Lincoln,1993,2400.0
Buenos Aires,Lobería,1993,2395.0
Buenos Aires,Lobos,1993,1818.0
Buenos Aires,Luján,1993,1789.0
Buenos Aires,Maipú,1993,1750.0
Buenos Aires,Mar Chiquita,1993,1797.0
Buenos Aires,Mercedes,1993,1900.0
Buenos Aires,Monte,1993,1500.0
Buenos Aires,Navarro,1993,1800.0
Buenos Aires,Necochea,1993,2600.0
Buenos Aires,Olavarría,1993,3000.0
Buenos Aires,Patagones,1993,1200.0
Buenos Aires,Pehuajó,1993,2800.0
Buenos Aires,Pellegrini,1993,2181.0
Buenos Aires,Pergamino,1993,1800.0
Buenos Aires,Pila,1993,1571.0
Buenos Aires,Puán,1993,1700.0
