provincia,new_ncart,simbc,tipo_uc,limit_ppal,limit_secu,limit_terc,ind_prod,porc_sue1,posi_sue1,orden_sue1,ggrup_sue1,sgrup_sue1,text_sups1,text_bs1,drenaje_s1,profund_s1,alcalin_s1,porc_pens1,erhidr_s1,ereoli_s1,rocos_s1,anegab_s1,porc_sue2,posi_sue2,orden_sue2,ggrup_sue2,sgrup_sue2,porc_sue3,posi_sue3,orden_sue3,ggrup_sue3,sgrup_sue3,ogc_fid
SALTA,16051.0,MKtc-9,Asociacion,Climatica,-,-,55.0,60.0,Explanadas,Molisoles,Argiustoles,Argiustoles entico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,60.0,-,-,-,-,40.0,Explanadas,Molisoles,Haplustoles,Haplustoles entico,0.0,,,,,1777.0
SALTA,16040.0,EPtc-17,Complejo,Pendientes,Prof.Efectiva somera,-,19.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Llanura extendida,Molisoles,Haplustoles,Haplustoles entico,30.0,Loma medanosa,Molisoles,Haplustoles,Haplustoles entico,1778.0
SALTA,16044.0,ICtc-2,Complejo,Alcalin menos 50cm,Salin en 1ros 50cm,Drenaje deficiente,7.0,50.0,Bajo,Inceptisoles,Halacueptes,Halacueptes tipico,Franco arenosa,Areno-franca,Imperfecto,70.0,Debil,1.0,-,-,-,-,30.0,Llanura extendida,Inceptisoles,Fragiacueptes,Fragiacueptes aerico,10.0,Bajo,Histosoles,Midifibristes,Medifibristes hidrico,1783.0
SALTA,16039.0,EPtc-16,Complejo,Pendientes,Prof.Efectiva somera,-,6.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Pendiente escarpada,Molisoles,Haplustoles,Haplustoles litico,20.0,,Molisoles,Argiustoles,Argiustoles udico,1784.0
SALTA,16039.0,EPtc-16,Complejo,Pendientes,Prof.Efectiva somera,-,6.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Pendiente escarpada,Molisoles,Haplustoles,Haplustoles litico,20.0,,Molisoles,Argiustoles,Argiustoles udico,1785.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1786.0
SALTA,16004.0,EPli-25,Complejo,Pendientes,Prof.Efectiva somera,-,3.0,50.0,V?a de escurrimiento,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Ustortentes,Ustortentes tapto argico,20.0,Lomadas graniticas,Molisoles,Haplustoles,Haplustoles litico,1787.0
SALTA,2005.0,DGtc-7,Asociacion,Climatica,Erosion hidrica actu,Pedregosidad,29.0,50.0,Llanura,Aridisoles,Cambortides,Cambortides tipico,Areno franca,Franco arenosa,Bien drenado,80.0,Debil,3.0,Moderada,-,Interfiere labra,-,25.0,V?a de escurrimiento,Entisoles,Torrifluventes,Torrifluventes tapto cambico,25.0,V?a de escurrimiento,Entisoles,Torriortentes,Torriortentes tapto cambico,1788.0
SALTA,2003.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Arcillosa,Imperfecto,100.0,Debil,3.0,Moderada,-,Interfiere labra,-,30.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1789.0
SALTA,16061.0,MNai-4,Asociacion,Climatica,Baja retenc humedad,-,53.0,70.0,Explanadas,Molisoles,Haplustoles,Haplustoles tipico,Franca,Franca,Algo Excesivo,100.0,No sodico,1.0,-,-,-,-,30.0,Microdepresion,Entisoles,Ustipsamentes,Ustipsamentes tipico,0.0,,,,,1795.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1790.0
SALTA,2003.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Arcillosa,Imperfecto,100.0,Debil,3.0,Moderada,-,Interfiere labra,-,30.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1791.0
SALTA,16039.0,EPtc-16,Complejo,Pendientes,Prof.Efectiva somera,-,6.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Pendiente escarpada,Molisoles,Haplustoles,Haplustoles litico,20.0,,Molisoles,Argiustoles,Argiustoles udico,1792.0
SALTA,2003.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Arcillosa,Imperfecto,100.0,Debil,3.0,Moderada,-,Interfiere labra,-,30.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1793.0
SALTA,16004.0,EPli-25,Complejo,Pendientes,Prof.Efectiva somera,-,3.0,50.0,V?a de escurrimiento,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Ustortentes,Ustortentes tapto argico,20.0,Lomadas graniticas,Molisoles,Haplustoles,Haplustoles litico,1794.0
SALTA,16031.0,EKtc-18,Complejo,Suscep inund o anega,Baja retenc humedad,-,37.0,40.0,V?a de escurrimiento,Entisoles,Ustifluventes,Ustifluventes tipico,Arenosa,Arenosa,Algo Excesivo,80.0,Debil,1.0,Ligera,-,Interfiere labra,-,40.0,Bajo,Alfisoles,Haplustalfes,Haplustalfes vertico,20.0,Explanadas,Entisoles,Ustipsamentes,Ustipsamentes tipico,1798.0
